legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Perry, Laurence P.",,40,D,"Eugene, Lane",Male,47,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Priestley, Wally",,16,D,"Portland, Multnomah",Male,3,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Ragsdale, Mike",,6,R,"Beaverton, Washington",Male,13,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Rieke, Mary W.",,9,R,"Portland, Multnomah",Female,38,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Roberts, Mary Wendy",,20,D,"Portland, Multnomah",Female,10,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Skelton, Keith D.",,19,D,"Portland, Multnomah",Male,58,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Stevenson, Edward (Doc)",,48,D,"Coquille, Curry, Coos",Male,37,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Stults, David",,43,R,"Junction City, Douglas, Lane",Male,4,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Stults, Robert M.",,45,R,"Roseburg, Douglas",Male,49,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Sumner, Jack",,55,D,"Heppner, Morrow, Gilliam, Sherman, Jefferson, Wasco, Clackamas, Marion, Linn",Male,44,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Walden, Paul E.",,56,R,"Hood River, Hood River, Wasco, Clackamas",Male,46,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Whallon, Glen",,25,D,"Milwaukie, Clackamas",Male,48,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Whitehead, Wayne",,39,R,"Eugene, Lane",Male,17,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Whiting, Pat",,7,D,"Tigard, Washington",Female,22,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Wilhelms, Gary L.",,53,R,"Klamath Falls, Klamath",Male,40,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Willits, Howard",,21,D,"Portland, Multnomah",Male,59,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Wolfer, Curtis",,28,D,"Silverton, Clackamas, Marion",Male,15,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Wolfer, Martin F.",,33,D,"Salem, Marion, Polk",Male,16,,,"Session : 1974 Special Session - January 24-February 24, 1974 (60)"
"Akeson, Harvey",,22,D,"Portland, Multnomah",Male,5,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"AuCoin, Walter (Les)",Majority Leader,4,D,"Forest Grove, Washington",Male,51,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Bazett, Sidney",,49,R,"Grants Pass, Josephine",Male,6,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Blumenauer, Earl",,11,D,"Portland, Multnomah",Male,45,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Bunn, Stan",,29,R,"Dayton, Yamhill, Marion",Male,2,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Burrows, Mary McCauley",,41,R,"Eugene, Lane",Female,1,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Byers, Bernard (Bud)",,37,D,"Lebanon, Linn",Male,35,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Cherry, Howard L.",,14,D,"Portland, Multnomah",Male,11,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Cole, George F.",,2,D,"Seaside, Clatsop, Washington, Columbia",Male,27,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Densmore, Albert H.",,50,D,"Medford, Jackson",Male,52,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Dereli, Margaret (Peg)",,32,D,"Salem, Marion",Female,25,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Elliott, Robert A.",,17,R,"Portland, Multnomah",Male,29,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Eymann, Richard",Speaker,44,D,"Springfield, Lane",Male,60,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Fadeley, Nancie",,42,D,"Eugene, Lane",Female,23,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Gilmour, Jeff L.",,30,D,"Jefferson, Marion",Male,26,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Grannell, William N.",,47,D,"North Bend, Coos",Male,33,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Groener, Ralph",,27,D,"Oregon City, Clackamas",Male,12,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Gwinn, William F.",,36,R,"Albany, Linn, Benton",Male,14,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Hampton, Lewis B.",,5,R,"Beaverton, Washington",Male,41,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Hanneman, Paul A.",,3,R,"Cloverdale, Tillamook, Yamhill, Washington, Polk",Male,53,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Hansell, Stafford",,57,R,"Hermiston, Umatilla",Male,42,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Ingalls, Robert C.",,35,R,"Corvallis, Benton",Male,19,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Johnson, Leigh Thronton",,52,R,"Ashland, Jackson, Klamath",Male,57,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Johnson, Sam",,54,R,"Redmond, Deschutes, Klamath",Male,54,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Jones, D.E. (Denny)",,60,R,"Ontario, Harney, Lake, Malheur",Male,9,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Kafoury, Stephen",,13,D,"Portland, Multnomah",Male,18,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Katz, Vera",,8,D,"Portland, Multnomah",Female,36,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Kinsey, Lloyd C.",,18,R,"Portland, Multnomah",Male,32,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Lang, Philip D.",Speaker Pro Tempore,10,D,"Portland, Multnomah",Male,43,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Lindquist, Ed",,26,D,"Milwaukie, Clackamas",Male,20,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Macpherson, Gordon L.",Minority Leader,38,R,"Seal Rock, Lincoln, Lane, Benton",Male,50,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Magruder, Dick",,1,D,"Clatskanie, Columbia, Washington",Male,56,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Markham, William E.",,46,R,"Riddle, Douglas, Josephine",Male,39,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Martin, Roger E.",,24,R,"Lake Oswego, Clackamas",Male,34,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Marx, Robert",,34,D,"Philomath, Polk, Benton",Male,28,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"McCoy, William",,15,D,"Portland, Multnomah",Male,21,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Morris, Brad",,51,R,"Medford, Jackson",Male,24,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Oakes, Donald",,59,R,"Ironside, Baker, Grant, Crook, Wheeler, Malheur",Male,8,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Otto, Glenn E.",,23,D,"Troutdale, Multnomah",Male,7,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Patterson, E. E.",,58,R,"LaGrande, Union, Wallowa, Umatilla",Male,31,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Paulus, Norma J.",,31,R,"Salem, Marion",Female,30,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Peck, Grace Olivier",,12,D,"Portland, Multnomah",Female,55,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Perry, Laurence P.",,40,D,"Eugene, Lane",Male,47,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Priestley, Wally",,16,D,"Portland, Multnomah",Male,3,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Ragsdale, Mike",,6,R,"Beaverton, Washington",Male,13,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Rieke, Mary W.",,9,R,"Portland, Multnomah",Female,38,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Roberts, Mary Wendy",,20,D,"Portland, Multnomah",Female,10,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Skelton, Keith D.",,19,D,"Portland, Multnomah",Male,58,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Stevenson, Edward (Doc)",,48,D,"Coquille, Curry, Coos",Male,37,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Stults, David",,43,R,"Junction City, Douglas, Lane",Male,4,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Stults, Robert M.",,45,R,"Roseburg, Douglas",Male,49,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Sumner, Jack",,55,D,"Heppner, Morrow, Gilliam, Sherman, Jefferson, Wasco, Clackamas, Marion, Linn",Male,44,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Walden, Paul E.",,56,R,"Hood River, Hood River, Wasco, Clackamas",Male,46,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Whallon, Glen",,25,D,"Milwaukie, Clackamas",Male,48,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Whitehead, Wayne",,39,R,"Eugene, Lane",Male,17,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Whiting, Pat",,7,D,"Tigard, Washington",Female,22,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Wilhelms, Gary L.",,53,R,"Klamath Falls, Klamath",Male,40,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Willits, Howard",,21,D,"Portland, Multnomah",Male,59,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Wolfer, Curtis",,28,D,"Silverton, Clackamas, Marion",Male,15,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Wolfer, Martin F.",,33,D,"Salem, Marion, Polk",Male,16,,,"Session : 1973 Session - January 8-July 6, 1973 (60)"
"Akeson, Harvey",,6,D,"Portland, Multnomah",Male,2,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Anunsen, Jack W.",,11,R,"Salem, Marion",Male,1,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"AuCoin, Walter (Les)",,4,D,"Forest Grove, Washington",Male,36,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Bazett, Sidney",,18,R,"Grants Pass, Josephine",Male,6,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Burns, Keith",,6,D,"Portland, Multnomah",Male,43,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Byers, Bernard (Bud)",,12,D,"Albany, Linn",Male,25,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Cherry, Howard L.",,6,D,"Portland, Multnomah",Male,21,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Chuinard, E.G. (Fritzi)",,6,R,"Portland, Multnomah",Female,7,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Cole, George F.",,1,D,"Seaside, Clatsop",Male,28,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Collett, Walter R.",,11,R,"Salem, Marion",Male,30,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Craig, Jack",,13,D,"Eugene, Lane",Male,17,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Crothers, Morris, K.",,11,R,"Salem, Marion",Male,11,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Densmore, Albert H.",,19,D,"Medford, Jackson",Male,33,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Elliott, Robert A.",,6,R,"Portland, Multnomah",Male,29,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Eymann, Richard O.",,13,D,"Springfield, Lane",Male,51,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Fadeley, Nancie",,13,D,"Eugene, Lane",Female,13,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Graham, Douglas W.",,6,R,"Portland, Multnomah",Male,27,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Gwinn, William F.",,12,R,"Amity, Linn",Male,14,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Hanneman, Paul A.",,3,R,"Cloverdale, Tillamook",Male,52,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Hansell, Stafford",,23,R,"Hermiston, Umatilla",Male,3,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Heard, Fred W.",,27,D,"Klamath Falls, Klamath, Lake",Male,35,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Henderson, Jim",,7,R,"Lake Oswego, Clackamas",Male,34,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Hollingsworth, Marvin J.",,6,D,"Troutdale, Multnomah",Male,8,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Howard, Norman R.",,6,D,"Portland, Multnomah",Male,41,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Howe, Carrol B.",,20,R,"Klamath Falls, Klamath",Male,15,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Ingalls, Robert C.",,10,R,"Corvallis, Benton",Male,19,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Johnson, Leigh Thronton",,19,R,"Ashland, Jackson",Male,57,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Johnson, Sam",,21,R,"Redmond, Crook, Deschutes, Jefferson",Male,54,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Kennedy, Richard L.",,13,D,"Eugene, Lane",Male,49,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Kinsey, Lloyd C.",,6,R,"Portland, Multnomah",Male,32,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Lang, Philip D.",,6,D,"Portland, Multnomah",Male,26,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Macpherson, Gordon L.",,8,R,"Waldport, Lincoln",Male,31,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Magruder, Dick",,2,D,"Clatskanie, Columbia",Male,24,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Maher, Ken",,6,D,"Portland, Multnomah",Male,20,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Mann, Irvin, Jr.",,28,R,"Stanfield, Gilliam, Morrow, Sherman, Umatilla, Wheeler",Male,5,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Markham, William E.",,15,R,"Riddle, Douglas",Male,39,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Martin, Roger E.",Speaker Pro Tempore,7,R,"Lake Oswego, Clackamas",Male,42,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"McGilvra, Hugh",,4,R,"Forest Grove, Washington",Male,18,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"McKenzie, Roderick T.",,17,R,"Sixes, Coos, Curry",Male,60,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Meeker, Anthony",,5,R,"Amity, Yamhill",Male,23,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Nybert, Clayton",,4,R,"Tualatin, Washington",Male,44,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Owens, LeRoy D.",,13,D,"Eugene, Lane",Male,22,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Patterson, E.E.",,24,R,"LaGrande, Union, Wallowa",Male,47,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Paulus, Norma J.",,11,R,"Salem, Marion",Female,12,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Peck, Grace Olivier",,6,D,"Portland, Multnomah",Female,55,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Perry, Laurence P.",,14,D,"Eugene, Benton, Lane",Male,9,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Pynn, Allen B.",,7,R,"West Linn, Clackamas",Male,10,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Rieke, Mary W.",,6,R,"Portland, Multnomah",Female,38,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Ripper, Jack",,16,D,"North Bend, Coos",Male,37,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Roberts, Frank L.",,6,D,"Portland, Multnomah",Male,48,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Skelton, Keith D.",,6,D,"Portland, Multnomah",Male,4,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Smith, Robert F.",Speaker,26,R,"Burns, Harney, Malheur",Male,56,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Stathos, Donald L.",,19,R,"Jacksonville, Jackson",Male,59,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Stevenson, William H. (Bill)",,6,D,"Portland, Multnomah",Male,53,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Stults, Robert M.",,15,R,"Roseburg, Douglas",Male,40,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Thronton, Leo M.",,7,R,"Milwaukie, Clackamas",Male,58,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Walden, Paul E.",,22,R,"Hood River, Hood River, Wasco",Male,46,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Willits, Howard",,6,D,"Portland, Multnomah",Male,45,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Wolfer, Martin F.",,9,D,"Salem, Polk",Male,16,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Young, Thomas F.",,25,R,"Baker, Baker, Grant",Male,50,,,"Session : 1971 Special Session - November 16-November 22, 1971 (60)"
"Akeson, Harvey",,6,D,"Portland, Multnomah",Male,2,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Anunsen, Jack W.",,11,R,"Salem, Marion",Male,1,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"AuCoin, Walter (Les)",,4,D,"Forest Grove, Washington",Male,36,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Bazett, Sidney",,18,R,"Grants Pass, Josephine",Male,6,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Burns, Keith",,6,D,"Portland, Multnomah",Male,43,,"Keith Burns was appointed on May 12, 1971 to fill the vacancy of Harl H. Haas who resigned on May 11, 1971.","Session : 1971 Session - January 11-June 10, 1971 (61)"
"Byers, Bernard (Bud)",,12,D,"Albany, Linn",Male,25,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Cherry, Howard L.",,6,D,"Portland, Multnomah",Male,21,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Chuinard, E.G. (Fritzi)",,6,R,"Portland, Multnomah",Female,7,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Cole, George F.",,1,D,"Seaside, Clatsop",Male,28,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Collett, Walter R.",,11,R,"Salem, Marion",Male,30,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Craig, Jack",,13,D,"Eugene, Lane",Male,17,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Crothers, Morris, K.",,11,R,"Salem, Marion",Male,11,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Densmore, Albert H.",,19,D,"Medford, Jackson",Male,33,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Elliott, Robert A.",,6,R,"Portland, Multnomah",Male,29,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Eymann, Richard O.",,13,D,"Springfield, Lane",Male,51,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Fadeley, Nancie",,13,D,"Eugene, Lane",Female,13,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Graham, Douglas W.",,6,R,"Portland, Multnomah",Male,27,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Gwinn, William F.",,12,R,"Amity, Linn",Male,14,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Haas, Harl H.",,6,D,"Portland, Multnomah",Male,43,,"Harl H. Haas resigned on May 11, 1971. Keith Burns was appointed on May 12, 197​1 to fill the vacancy.","Session : 1971 Session - January 11-June 10, 1971 (61)"
"Hanneman, Paul A.",,3,R,"Cloverdale, Tillamook",Male,52,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Hansell, Stafford",,23,R,"Hermiston, Umatilla",Male,3,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Heard, Fred W.",,27,D,"Klamath Falls, Klamath, Lake",Male,35,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Henderson, Jim",,7,R,"Lake Oswego, Clackamas",Male,34,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Hollingsworth, Marvin J.",,6,D,"Troutdale, Multnomah",Male,8,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Howard, Norman R.",,6,D,"Portland, Multnomah",Male,41,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Howe, Carrol B.",,20,R,"Klamath Falls, Klamath",Male,15,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Ingalls, Robert C.",,10,R,"Corvallis, Benton",Male,19,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Johnson, Leigh Thronton",,19,R,"Ashland, Jackson",Male,57,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Johnson, Sam",,21,R,"Redmond, Crook, Deschutes, Jefferson",Male,54,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Kennedy, Richard L.",,13,D,"Eugene, Lane",Male,49,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Kinsey, Lloyd C.",,6,R,"Portland, Multnomah",Male,32,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Lang, Philip D.",,6,D,"Portland, Multnomah",Male,26,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Macpherson, Gordon L.",,8,R,"Waldport, Lincoln",Male,31,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Magruder, Dick",,2,D,"Clatskanie, Columbia",Male,24,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Maher, Ken",,6,D,"Portland, Multnomah",Male,20,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Mann, Irvin, Jr.",,28,R,"Stanfield, Gilliam, Morrow, Sherman, Umatilla, Wheeler",Male,5,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Markham, William E.",,15,R,"Riddle, Douglas",Male,39,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Martin, Roger E.",Speaker Pro Tempore,7,R,"Lake Oswego, Clackamas",Male,42,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"McGilvra, Hugh",,4,R,"Forest Grove, Washington",Male,18,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"McKenzie, Roderick T.",,17,R,"Sixes, Coos, Curry",Male,60,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Meeker, Anthony",,5,R,"Amity, Yamhill",Male,23,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Nybert, Clayton",,4,R,"Tualatin, Washington",Male,44,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Owens, LeRoy D.",,13,D,"Eugene, Lane",Male,22,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Patterson, E.E.",,24,R,"LaGrande, Union, Wallowa",Male,47,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Paulus, Norma J.",,11,R,"Salem, Marion",Female,12,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Peck, Grace Olivier",,6,D,"Portland, Multnomah",Female,55,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Perry, Laurence P.",,14,D,"Eugene, Benton, Lane",Male,9,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Pynn, Allen B.",,7,R,"West Linn, Clackamas",Male,10,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Rieke, Mary W.",,6,R,"Portland, Multnomah",Female,38,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Ripper, Jack",,16,D,"North Bend, Coos",Male,37,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Roberts, Frank L.",,6,D,"Portland, Multnomah",Male,48,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Skelton, Keith D.",,6,D,"Portland, Multnomah",Male,4,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Smith, Robert F.",Speaker,26,R,"Burns, Harney, Malheur",Male,56,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Stathos, Donald L.",,19,R,"Jacksonville, Jackson",Male,59,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Stevenson, William H. (Bill)",,6,D,"Portland, Multnomah",Male,53,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Stults, Robert M.",,15,R,"Roseburg, Douglas",Male,40,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Thronton, Leo M.",,7,R,"Milwaukie, Clackamas",Male,58,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Walden, Paul E.",,22,R,"Hood River, Hood River, Wasco",Male,46,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Willits, Howard",,6,D,"Portland, Multnomah",Male,45,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Wolfer, Martin F.",,9,D,"Salem, Polk",Male,16,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Young, Thomas F.",,25,R,"Baker, Baker, Grant",Male,50,,,"Session : 1971 Session - January 11-June 10, 1971 (61)"
"Akeson, Harvey",,6,D,"Portland, Multnomah",Male,2,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Anunsen, Jack",,11,R,"Salem, Marion",Male,1,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Bazett, Sidney",,18,R,"Grants Pass, Josephine",Male,6,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Bennett, J. E. (Jake)",,6,D,"Portland, Multnomah",Male,5,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Boe, Jason D.",Minority Leader,15,D,"Reedsport, Douglas",Male,43,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Bradley, Bill",,6,D,"Portland, Multnomah",Male,21,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Browne, Elizabeth W. (Betty)",,13,D,"Oakridge, Lane",Female,13,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Carson, Wallace P.",Majority Leader,11,R,"Salem, Marion",Male,12,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Chuinard, E. G. (Fritzi)",,6,R,"Portland, Multnomah",Female,7,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Coffin, Gwen T.",,24,D,"Enterprise, Union, Wallowa",Male,9,,"Gwen T. Coffin was appointed on April 17, 1969 to fill the vacancy of Keith M. Wilson who resigned on April 11, 1969.","Session : 1969 Session - January 13-May 23, 1969 (61)"
