session_name,Legislator,District,Role,Party,Residence,Gender,Desk Number,Profession,Notes,session_year,regular
1860 Session,"Bayley, Joseph",14,NA,D,Lane,Male,NA,NA,NA,1860,TRUE
1860 Session,"Duval, John",15,NA,D,Lane,Male,NA,NA,NA,1860,TRUE
1860 Session,"Cochran, R. B.",16,NA,D,Lane,Male,NA,NA,NA,1860,TRUE
1860 Session,"Worth, J. Q. A.",17,NA,D,Linn,Male,NA,NA,NA,1860,TRUE
1860 Session,"Curl, Bartlett",18,NA,D,Linn,Male,NA,NA,NA,1860,TRUE
1860 Session,"McCully, Abe",19,NA,R,Linn,Male,NA,NA,NA,1860,TRUE
1860 Session,"Tate, James P.",20,NA,R,Linn,Male,NA,NA,NA,1860,TRUE
1860 Session,"Parker, Samuel",21,NA,D,Marion,Male,NA,NA,NA,1860,TRUE
1860 Session,"Newell, Robert",22,NA,D,Marion,Male,NA,NA,NA,1860,TRUE
1860 Session,"Candall, C. P.",23,NA,D,Marion,Male,NA,NA,NA,1860,TRUE
1860 Session,"Harding, Benjamin F.",24,Speaker,D,Marion,Male,NA,NA,NA,1860,TRUE
1860 Session,"Stark, Benjamin",25,NA,D,Multnomah,Male,NA,NA,NA,1860,TRUE
1860 Session,"Gibbs, A. C.",26,NA,D,Multnomah,Male,NA,NA,NA,1860,TRUE
1860 Session,"Cram, C. C.",28,NA,D,Polk,Male,NA,NA,NA,1860,TRUE
1860 Session,"Huntington, J. W. P.",29,NA,D,Umpqua,Male,NA,NA,NA,1860,TRUE
1860 Session,"Mays, Robert",30,NA,D,Wasco,Male,NA,NA,NA,1860,TRUE
1860 Session,"Bowlby, Wilson",31,NA,R,Washington,Male,NA,NA,NA,1860,TRUE
1860 Session,"Butler, Ira F. M.",31,NA,D,Polk,Male,NA,NA,NA,1860,TRUE
1860 Session,"Conyers, R. A.",32,NA,R,Washington,Male,NA,NA,NA,1860,TRUE
1860 Session,"Crawford, Medorum",33,NA,R,Yamhill,Male,NA,NA,NA,1860,TRUE
1860 Session,"Gilmore, S. M.",34,NA,R,Yamhill,Male,NA,NA,NA,1860,TRUE
1862 Session,"Witham, A. M",1,NA,R,Benton,Male,NA,NA,NA,1862,TRUE
1862 Session,"Blair, C. P.",2,NA,R,Benton,Male,NA,NA,NA,1862,TRUE
1862 Session,"Collard, F. A.",3,NA,R,Clackamas,Male,NA,NA,NA,1862,TRUE
1862 Session,"Ramsby, M",4,NA,R,Clackamas,Male,NA,NA,NA,1862,TRUE
1862 Session,"Kearn, J. T.",5,NA,R,Clackamas,Male,NA,NA,NA,1862,TRUE
1862 Session,"Gillette, P.W.",6,NA,R,"Clatsop, Tillamook",Male,NA,NA,NA,1862,TRUE
1862 Session,"Stevenson, Archibald",7,NA,R,"Coos, Curry",Male,NA,NA,NA,1862,TRUE
1862 Session,"Mallory, R",8,NA,R,Douglas,Male,NA,NA,NA,1862,TRUE
1862 Session,"Watson, James",9,NA,R,Douglas,Male,NA,NA,NA,1862,TRUE
1862 Session,"Applegate, L",10,NA,R,Jackson,Male,NA,NA,NA,1862,TRUE
1862 Session,"Haines, I. D.",11,NA,R,Jackson,Male,NA,NA,NA,1862,TRUE
1862 Session,"Van Dyke, S. D.",12,NA,R,Jackson,Male,NA,NA,NA,1862,TRUE
1862 Session,"Fay, J. D.",13,NA,D,Josephine,Male,NA,NA,NA,1862,TRUE
1862 Session,"McClure, C. S. M.",14,NA,R,Lane,Male,NA,NA,NA,1862,TRUE
1862 Session,"Hemenway, A. A.",15,NA,R,Lane,Male,NA,NA,NA,1862,TRUE
1862 Session,"Wilkins, M.",16,NA,R,Lane,Male,NA,NA,NA,1862,TRUE
1862 Session,"Brown, H. L.",17,NA,R,Linn,Male,NA,NA,NA,1862,TRUE
1862 Session,"Smith, John",18,NA,R,Linn,Male,NA,NA,NA,1862,TRUE
1862 Session,"McCoy, William",19,NA,R,Linn,Male,NA,NA,NA,1862,TRUE
1862 Session,"McCully, A. A.",20,NA,R,Linn,Male,NA,NA,NA,1862,TRUE
1862 Session,"Moores, I. R.",21,NA,R,Marion,Male,NA,NA,NA,1862,TRUE
1862 Session,"Engle, Joseph",22,NA,R,Marion,Male,NA,NA,NA,1862,TRUE
1862 Session,"Reed, C. A.",23,NA,R,Marion,Male,NA,NA,NA,1862,TRUE
1862 Session,"Minto, John, IV",24,NA,R,Marion,Male,NA,NA,NA,1862,TRUE
1862 Session,"Dufur, A. J.",25,NA,R,Multnomah,Male,NA,NA,NA,1862,TRUE
1862 Session,"Wasserman, P.",26,NA,R,Multnomah,Male,NA,NA,NA,1862,TRUE
1862 Session,"Simpson, B",27,NA,R,Polk,Male,NA,NA,NA,1862,TRUE
1862 Session,"Richardson, G. W.",28,NA,R,Polk,Male,NA,NA,NA,1862,TRUE
1862 Session,"Wilson, W. H.",29,NA,R,Umpqua,Male,NA,NA,NA,1862,TRUE
1862 Session,"Humason, O.",30,NA,R,Wasco,Male,NA,NA,NA,1862,TRUE
